# .test .cputime .temperature .time_mat1 .time_mat2
396 0.311332  9.253 0.005036 0.007934
397 0.309671  8.279 0.005067 0.008050
398 0.311597  7.792 0.005076 0.008050
399 0.312717  8.279 0.005133 0.008077
400 0.312144  7.305 0.005158 0.008175
401 0.312743  7.792 0.005175 0.008161
402 0.313708  7.792 0.005181 0.008193
403 0.314789  8.279 0.005232 0.008239
404 0.315058  8.766 0.005247 0.008299
405 0.315510  7.305 0.005376 0.008436
406 0.316346  8.766 0.005264 0.008413
407 0.318827  6.818 0.005355 0.008444
408 0.330236  7.792 0.005337 0.008457
409 0.318918  6.818 0.005515 0.008508
410 0.322153  7.792 0.005357 0.008529
411 0.320025  8.279 0.005451 0.008695
412 0.321573  7.792 0.005447 0.008663
413 0.320912  8.279 0.005506 0.008707
414 0.325535  7.792 0.005486 0.008746
415 0.324700  8.766 0.005521 0.008811
416 0.324066  8.279 0.005517 0.008825
417 0.323609  7.305 0.005611 0.008999
418 0.327180  7.792 0.005590 0.008935
419 0.327377  8.766 0.005663 0.008965
420 0.332953  8.766 0.005674 0.009017
421 0.331535  8.279 0.005667 0.009088
422 0.341976  8.279 0.005711 0.009117
423 0.328746  7.792 0.005753 0.009167
424 0.329817  7.305 0.005721 0.009181
425 0.330335  7.792 0.005752 0.009263
426 0.329934  8.279 0.005775 0.009543
427 0.330777  8.766 0.005771 0.009333
428 0.334444  8.279 0.005850 0.009376
429 0.334159  8.766 0.005808 0.009424
430 0.335733  7.792 0.005842 0.009469
431 0.335818  8.766 0.005841 0.009522
432 0.337315  8.279 0.005871 0.009605
433 0.338576  9.253 0.005917 0.009595
434 0.346126  7.792 0.005921 0.009712
435 0.339218  8.766 0.005922 0.009706
436 0.349248  7.792 0.006186 0.009751
437 0.340556  9.253 0.005997 0.009786
438 0.340915  8.766 0.005993 0.009869
439 0.344199  8.766 0.005989 0.009889
440 0.344324  8.279 0.006050 0.010082
441 0.353485  8.766 0.006079 0.009963
442 0.344585  9.740 0.006177 0.010043
443 0.346704  7.792 0.006114 0.010198
444 0.348214  8.766 0.006172 0.010128
445 0.347107  8.766 0.006142 0.010187
446 0.348846  7.792 0.006209 0.010304
447 0.349134  8.766 0.006238 0.010304
448 0.349047  8.279 0.006264 0.010446
449 0.351197  7.305 0.006263 0.010454
450 0.351834  8.766 0.006360 0.010442
451 0.349813  7.305 0.006300 0.011085
452 0.366256  9.253 0.006372 0.010804
453 0.365589  8.279 0.006362 0.010560
454 0.354849  8.766 0.006431 0.010671
455 0.356429  8.766 0.006441 0.010658
456 0.356091  8.279 0.006486 0.010701
457 0.357405  9.740 0.006735 0.010826
458 0.358747  8.279 0.006571 0.010842
459 0.368438  8.766 0.006557 0.010949
460 0.359057  8.766 0.006631 0.010942
461 0.359326  9.253 0.006624 0.010970
462 0.364215  8.766 0.006692 0.011014
463 0.361273  9.253 0.006650 0.011078
464 0.361465  9.253 0.006966 0.011430
465 0.362851  9.740 0.006980 0.011393
466 0.361622  9.253 0.007038 0.011437
467 0.365339  9.253 0.006817 0.011242
468 0.377067  8.766 0.006869 0.011326
469 0.366053  8.279 0.006880 0.011373
470 0.367014  8.766 0.006890 0.011404
471 0.364757  9.740 0.006933 0.011438
472 0.378706  7.792 0.006974 0.011565
473 0.370940  8.279 0.006999 0.011532
474 0.380595  9.253 0.007051 0.011756
475 0.373100  7.792 0.007042 0.011690
476 0.369611  9.740 0.007089 0.011718
477 0.371068  8.766 0.007103 0.011805
478 0.371299  9.253 0.007083 0.011856
479 0.370978  8.766 0.007175 0.011897
480 0.387637  8.766 0.007177 0.011919
481 0.372998  9.253 0.007241 0.012067
482 0.374691 10.227 0.007214 0.012028
483 0.374964  9.740 0.007284 0.012040
484 0.375730  8.766 0.007294 0.012163
485 0.377377  8.766 0.007344 0.012146
486 0.376622  9.253 0.007354 0.012256
487 0.380894  8.766 0.007419 0.012399
488 0.379303  9.740 0.007391 0.012397
489 0.380781  9.740 0.007470 0.012514
490 0.380256 10.227 0.007489 0.012422
491 0.380946  9.740 0.007530 0.012456
492 0.380564  8.279 0.007522 0.012606
493 0.382057  9.253 0.007614 0.012596
494 0.381645 10.714 0.007537 0.012652
495 0.412092  8.766 0.007806 0.012822
496 0.385087  9.253 0.007651 0.012849
497 0.384534  9.740 0.007730 0.012784
498 0.385670  9.253 0.007721 0.012900
499 0.441570 10.714 0.007791 0.012881
500 0.388234 10.227 0.007765 0.012963
